era,repo_count,avg_pr_push_ratio,p25_pr_push_ratio,median_pr_push_ratio,p75_pr_push_ratio,avg_contributors_per_repo
2022-Q1,2102336,0.09832445296815488,0.0,0.0,0.034482758620689655,4.879458849584462
2023-Q1,2505185,0.091498719834642,0.0,0.0,0.025,4.810616780796628
2024-Q1,2860904,0.08478687886326228,0.0,0.0,0.0,4.6255515739081074
2025-Q1,3511316,0.07649630756263874,0.0,0.0,0.0,4.396210708463721
2026-Q1,3066176,0.08227817207104744,0.0,0.0,0.0,2.8392496060239205
